tweet_id,favorite_count,retweet_count,source,retweeted_status,url
873580283840344065,23238,3699,Twitter for iPhone,Original tweet,https://t.co/jbitZ0V20S
873337748698140672,0,1499,Twitter for iPhone,This is a retweet,This is a retweet
873213775632977920,6899,1499,Twitter for iPhone,Original tweet,https://t.co/CWPYZJvjrI
872967104147763200,26207,5097,Twitter for iPhone,Original tweet,https://t.co/8rpIJr9sAC
872820683541237760,14144,3493,Twitter for iPhone,Original tweet,https://t.co/M15eX8HhsR
872620804844003328,19940,3443,Twitter for iPhone,Original tweet,https://t.co/lUcpnZDPz9
872486979161796608,39141,8500,Twitter for iPhone,Original tweet,https://t.co/xFWhrdMuTh
872122724285648897,33070,7648,Twitter for iPhone,Original tweet,https://t.co/l4qou61pKu
871879754684805121,36324,10425,Twitter for iPhone,Original tweet,https://t.co/vgvqHeVsE0
871762521631449091,19483,3284,Twitter for iPhone,Original tweet,https://t.co/NxsjNYcUBx
871515927908634625,19413,3275,Twitter for iPhone,Original tweet,https://t.co/1HZLp9TE6u
871166179821445120,0,5404,Twitter for iPhone,This is a retweet,This is a retweet
871102520638267392,20175,5209,Twitter for iPhone,Original tweet,https://t.co/AbBLh2FZCH
871032628920680449,21878,3610,Twitter for iPhone,Original tweet,https://t.co/ESmXMT4AxF
870804317367881728,32437,5868,Twitter for iPhone,Original tweet,https://t.co/oZ7H2eO79W
870726314365509632,118,3,Twitter for iPhone,Original tweet,s
870656317836468226,11949,2496,Twitter for iPhone,Original tweet,https://t.co/EHTUbra0oP
870374049280663552,79916,25055,Twitter for iPhone,Original tweet,https://t.co/6SWu4xkvDk
870308999962521604,21111,3937,Twitter for iPhone,Original tweet,https://t.co/LR0TT56LvT
870063196459192321,35330,7884,Twitter for iPhone,Original tweet,https://t.co/pf6BEpgCfo
869772420881756160,41024,9577,Twitter for iPhone,Original tweet,https://t.co/HciEaJkC4D
869702957897576449,27278,6001,Twitter for iPhone,Original tweet,https://t.co/RjBqu7O8Yw
869596645499047938,15436,2983,Twitter for iPhone,Original tweet,https://t.co/8UTtgmsPdl
869227993411051520,19746,3597,Twitter for iPhone,Original tweet,https://t.co/2lERR4Uoyt
868880397819494401,63335,13732,Twitter for iPhone,Original tweet,https://t.co/r28jFx9uyF
868639477480148993,0,1975,Twitter for iPhone,This is a retweet,This is a retweet
868622495443632128,25851,5048,Twitter for iPhone,Original tweet,https://t.co/yeaH8Ej5eM
868552278524837888,9778,1975,Twitter for iPhone,Original tweet,https://t.co/0xI8JbHfLa
867900495410671616,23456,3986,Twitter for iPhone,Original tweet,https://t.co/DI5BnH6c3G
867774946302451713,32905,7004,Twitter for iPhone,Original tweet,https://t.co/ZYg3NZGICa
867421006826221569,15618,2376,Twitter for iPhone,Original tweet,https://t.co/nqhQ44KnQL
867072653475098625,0,116,Twitter for iPhone,This is a retweet,This is a retweet
867051520902168576,31251,7523,Twitter for iPhone,Original tweet,https://t.co/Qk5Xvus2gJ
866720684873056260,19451,4588,Twitter for iPhone,Original tweet,https://t.co/Q8mVwWN3f4
866686824827068416,18706,3318,Twitter for iPhone,Original tweet,https://t.co/PSJxrMtzCu
866450705531457537,118721,33733,Twitter for iPhone,Original tweet,https://t.co/wk7TfysWHr
866334964761202691,50957,13696,Twitter for iPhone,Original tweet,https://t.co/W86h5dgR6c
866094527597207552,0,8032,Twitter for iPhone,This is a retweet,This is a retweet
865718153858494464,24928,5379,Twitter for iPhone,Original tweet,https://t.co/EzSWgvFLSD
865359393868664832,25744,4788,Twitter for iPhone,Original tweet,https://t.co/SOuLinJPxm
